1692;;2012-12-20 11:00:21.763
1663;CAD/CAM/CAE;2012-07-18 13:05:13.660
1478;Автоматизация измерений, контроля и испытаний;2012-05-14 15:05:12.530
1418;Автоматизация производственных процессов;2012-05-14 15:05:06.263
1420;Автоматизация производственных процессов в машиностроении;2012-05-14 15:05:06.263
1174;Автоматизация технологических процессов и производств;2012-04-12 12:56:50.823
1760;Автоматизация управления жизненным циклом продукции;2013-02-01 11:57:02.433
1720;Автоматизированные системы проектирования;2013-01-10 12:15:35.153
1182;Автоматизированные системы управления;2012-05-11 12:37:54.543
1414;Автоматизированные системы управления технологическими процессами;2012-05-14 15:05:06.250
1417;Автоматизированный электропривод;2012-05-14 15:05:06.250
1515;Автоматизированный электропривод станков и промышленных роботов;2012-05-14 15:05:16.560
1180;Автоматизированный электропривод технологического оборудования;2012-05-11 12:13:57.323
1772;Автоматика и автоматизация на транспорте;2013-02-14 12:57:29.133
1395;Автомобили. Конструкция;2012-05-14 15:05:05.700
1517;Автомобили. Расчёт;2012-05-14 15:05:16.920
1516;Автомобили. Теория;2012-05-14 15:05:16.903
1397;Автомобили. Транспортные средства;2012-05-14 15:05:05.717
1335;Автомобильные двигатели;2012-05-14 15:05:03.530
1349;Автосервис и фирменное обслуживание автомобилей;2012-05-14 15:05:04.000
1832;Администрирование операционных систем;2013-05-06 13:21:22.630
1465;Алгебра и геометрия;2012-05-14 15:05:11.390
1268;Анализ и диагностика финансово-хозяйственной деятельности предприятия;2012-05-14 15:05:00.500
1446;Анализ и синтез ХТС;2012-05-14 15:05:09.653
1571;Анализ состоятельности предприятия;2012-05-14 15:06:16.763
1281;Анализ управления затратами;2012-05-14 15:05:01.263
1269;Анализ управления финансами;2012-05-14 15:05:00.500
1859;Анализ хозяйственной деятельности;2013-12-13 09:34:25.077
1860;Анализ эффективности систем управления;2013-12-13 11:24:53.107
1727;Аналитическая химия и физико-химические методы анализа;2013-01-15 10:53:48.327
1298;Аналитическое программное обеспечение;2012-05-14 15:05:01.390
1275;Антикризисное управление;2012-05-14 15:05:00.937
1276;Антикризисный менеджмент;2012-05-14 15:05:00.937
1698;Аппаратное и программное обеспечение графических работ;2012-12-21 13:33:16.133
1684;Архитектура ЭВМ;2012-12-13 11:29:32.250
1273;Аудит;2012-05-14 15:05:00.843
1305;Базы данных;2012-05-14 15:05:02.123
1717;Базы и банки данных;2012-12-28 10:53:10.460
1245;Банковское дело;2012-05-14 15:04:59.700
1270;Безопасность движения;2012-05-14 15:05:00.623
1301;Безопасность жизнедеятельности;2012-05-14 15:05:01.920
1575;Бизнес-планирование;2012-05-14 15:06:44.640
1213;Бизнес-планирование на автомобильном транспорте;2012-05-14 15:00:03.060
1404;Биология и микробиология;2012-05-14 15:05:05.950
1403;Биотехнологические процессы в промышленности и экологии;2012-05-14 15:05:05.950
1402;Биохимия;2012-05-14 15:05:05.950
1234;Бухгалтерский учёт;2012-05-14 15:04:59.547
1235;Бухгалтерский учёт в промышленности;2012-05-14 15:04:59.547
1862;Бухгалтерский учёт и анализ;2013-12-17 10:03:56.560
1863;Бюджетирование;2013-12-17 10:12:52.293
1811;Бюджетная система РФ;2013-04-11 12:38:30.310
1574;Введение в инженерное дело;2012-05-14 15:06:43.730
1426;Введение в механику сплошных сред;2012-05-14 15:05:06.687
1857;Введение в наноматериалы и нанотехнологии;2013-11-21 12:24:02.280
1346;Введение в направление;2012-05-14 15:05:03.797
1826;Введение в параллельное программирование;2013-04-29 10:23:30.960
1676;Введение в программную инженерию;2012-12-06 15:26:10.213
1749;Введение в проектирование автоматизированных систем обработки информации и управления;2013-01-28 11:56:07.760
1427;Введение в специальность;2012-05-14 15:05:06.717
1929;Введение в термодинамику полимеров;2014-01-20 13:01:22.390
1773;Введение в ХТ полимеров;2013-02-20 12:19:45.440
1560;Взаимозаменяемость;2012-05-14 15:05:59.687
1750;Взаимозаменяемость и нормирование точности;2013-01-28 13:24:31.167
1251;Внешнеэкономическая деятельность;2012-05-14 15:04:59.810
1193;Выбор и проектирование заготовок;2012-05-14 15:00:02.763
1361;Выполнение выпускной работы;2012-05-14 15:05:04.390
1364;Выполнение выпускной работы бакалавра;2012-05-14 15:05:04.403
1360;Выполнение квалификационной работы;2012-05-14 15:05:04.390
1362;Выпускная работа;2012-05-14 15:05:04.390
1680;Вычислительная техника и сети в транспортной отрасли;2012-12-10 12:11:37.517
1464;Вычислительная математика;2012-05-14 15:05:11.343
1375;Вычислительная техника и сети;2012-05-14 15:05:04.967
